Site ID	Name	Principal Investigator	Data Use Policy	AmeriFlux BASE Data	AmeriFlux FLUXNET Data	Vegetation Abbreviation (IGBP)	Vegetation Description (IGBP)	Climate Class Abbreviation (Koeppen)	Climate Class Description (Koeppen)	Mean Average Precipitation (mm)	Mean Average Temperature (degrees C)	Country	Latitude (degrees)	Longitude (degrees)	Elevation (m)	Years of AmeriFlux BASE Data	AmeriFlux BASE DOI	Years of AmeriFlux FLUXNET Data	AmeriFlux FLUXNET DOI	Site Start	Site End	BASE variables available	FLUXNET variables available
"US-KS4"	"Kennedy Space Center (Spartina marsh)"	"Tammy E. Foster (tammy.foster-1@nasa.gov)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cwa"	"Humid Subtropical: dry winter, hot summer"	"1340"	"22.3"	"USA"	"28.6000"	"-80.7207"	"0.5"	"2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1767834"	""	"https://doi.org/"	"2017"	""	"CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-KUO"	"KUOM tower"	"Joe McFadden (mcfadden@ucsb.edu)"	"CC-BY-4.0"	"No"	"No"	"URB"	"Urban and Built-Up Lands: Land covered by buildings and other man-made structures."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"777"	"7.9"	"USA"	"44.9984"	"-93.1884"	"301"	""	"https://doi.org/"	""	"https://doi.org/"	"2006"	"2009"	""	""
"US-KUT"	"KUOM Turfgrass Field"	"Joe McFadden (mcfadden@ucsb.edu)"	"CC-BY-4.0"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"777"	"7.9"	"USA"	"44.9950"	"-93.1863"	"301"	"2005, 2006, 2007, 2008, 2009"	"https://doi.org/10.17190/AMF/1246145"	""	"https://doi.org/"	"2005"	"2009"	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"US-Kyv"	"Apple Orchard ARS Kearneysville WV"	"Andrew M. Bierer (andrew.bierer@usda.gov)"	"CC-BY-4.0"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"964"	"11.78"	"USA"	"39.3447"	"-77.8859"	"185"	""	"https://doi.org/"	""	"https://doi.org/"	""	""	""	""
"US-LA1"	"Pointe-aux-Chenes Brackish Marsh"	"Ken Krauss (kraussk@usgs.gov)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1625"	"20.7"	"USA"	"29.5013"	"-90.4449"	"0"	"2011, 2012"	"https://doi.org/10.17190/AMF/1543386"	""	"https://doi.org/"	"2011"	"2012"	"FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, H, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, PPFD_IN, RH, TA, TS, USTAR, VPD, V_SIGMA, WD, WS"	""
"US-LA2"	"Salvador WMA Freshwater Marsh"	"Ken Krauss (kraussk@usgs.gov)"	"Legacy"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1655"	"20.2"	"USA"	"29.8587"	"-90.2869"	"0"	"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1543387"	""	"https://doi.org/"	"2011"	"2013"	"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-LA3"	"Barataria Bay Saline Marsh"	"Eric Ward (eward@usgs.gov)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1623"	"20.9"	"USA"	"29.4936"	"-89.9153"	"0.2"	"2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/2229156"	""	"https://doi.org/"	"2019"	""	"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL"	""
"US-LGr"	"Lockney Grassland"	"Nithya Rajan (nrajan@tamu.edu)"	"Legacy"	"No"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Bsh"	"Steppe: very cold winter"	"450"	"15"	"USA"	"34.1377"	"-101.4787"	"1026"	""	"https://doi.org/"	""	"https://doi.org/"	"2013"	""	""	""
"US-Lin"	"Lindcove Orange Orchard"	"Silvano Fares (silvano.fares@cnr.it)"	"CC-BY-4.0"	"Yes"	"Yes"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	""	""	""	""	"USA"	"36.3566"	"-119.0922"	"131"	"2009, 2010"	"https://doi.org/10.17190/AMF/1246830"	"2009, 2010"	"https://doi.org/10.17190/AMF/2229381"	"2009"	"2010"	"CO2, FC, G, H, H2O, LE, NETRAD, P, PA, PPFD_IN, RH, SWC, TA, TS, USTAR, VPD, WD, WS"	""
"US-LL1"	"Longleaf Pine - Baker (Mesic site)"	"Gregory Starr (gstarr@ua.edu)"	"CC-BY-4.0"	"Yes"	"No"	"SAV"	"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1310"	"20"	"USA"	"31.2792"	"-84.5329"	"165"	"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1773395"	""	"https://doi.org/"	"2008"	"2016"	"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA"	""
"US-LL2"	"Longleaf Pine - Dubignion (Intermediate site)"	"Gregory Starr (gstarr@ua.edu)"	"CC-BY-4.0"	"Yes"	"No"	"SAV"	"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1310"	"20"	"USA"	"31.2010"	"-84.4449"	"155"	"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1773396"	""	"https://doi.org/"	"2008"	"2016"	"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA"	""
"US-LL3"	"Longleaf Pine - Red Dirt (Xeric site)"	"Gregory Starr (gstarr@ua.edu)"	"CC-BY-4.0"	"Yes"	"No"	"SAV"	"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"1310"	"20"	"USA"	"31.2688"	"-84.4787"	"159.5"	"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017"	"https://doi.org/10.17190/AMF/1773397"	""	"https://doi.org/"	"2008"	"2016"	"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA"	""
"US-Los"	"Lost Creek"	"Ankur Desai (desai@aos.wisc.edu)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"828"	"4.08"	"USA"	"46.0827"	"-89.9792"	"480.00"	"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"	"https://doi.org/10.17190/AMF/1246071"	""	"https://doi.org/"	"2001"	""	"CH4, CO2, FC, FCH4, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, VPD, WD, WS, WTD"	""
"US-LPH"	"Little Prospect Hill"	"Julian Hadley (ameriflux-support@lbl.gov)"	"Legacy"	"Yes"	"No"	"DBF"	"Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1071"	"6.73"	"USA"	"42.5419"	"-72.1850"	"377.5"	"2002, 2003, 2004, 2005"	"https://doi.org/10.17190/AMF/1246072"	""	"https://doi.org/"	"2002"	""	"APAR, CO2, FAPAR, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"US-LS1"	"San Pedro River Lewis Springs Sacaton Grassland"	"Russell Scott (russ.scott@ars.usda.gov)"	"CC-BY-4.0"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Bwh"	"Desert: warm winter"	"288"	"17"	"USA"	"31.5615"	"-110.1403"	"1230"	"2002, 2003, 2004, 2005, 2006, 2007"	"https://doi.org/10.17190/AMF/1660346"	""	"https://doi.org/"	"2003"	"2007"	"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, TA, TS, T_SONIC, USTAR, WD, WS"	""
"US-LS2"	"San Pedro River Lewis Springs Savanna"	"Russell Scott (russ.scott@ars.usda.gov)"	"CC-BY-4.0"	"Yes"	"Yes"	"SAV"	"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters."	"Bwh"	"Desert: warm winter"	"288"	"17"	"USA"	"31.5659"	"-110.1344"	"1240"	"2002, 2003, 2004, 2005, 2006, 2007"	"https://doi.org/10.17190/AMF/1660347"	"2002, 2003, 2004, 2005, 2006, 2007"	"https://doi.org/10.17190/AMF/2204870"	"2003"	"2007"	"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, TA, TS, T_SONIC, USTAR, WD, WS"	""
"US-LU1"	"Missouri-Moreau River Basin USDA Certified Organic Farm"	"Sean Zeiger (zeigers@lincolnu.edu)"	"CC-BY-4.0"	"No"	"No"	"CVM"	"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape"	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"973"	"13.5"	"USA"	"38.5048"	"-92.2487"	"187"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"US-LWW"	"Little Washita Watershed"	"Tilden Meyers (Tilden.Meyers@noaa.gov)"	"Legacy"	"Yes"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Cfa"	"Humid Subtropical: mild with no dry season, hot summer"	"805.12"	"16.09"	"USA"	"34.9604"	"-97.9789"	"365"	"1997, 1998"	"https://doi.org/10.17190/AMF/1246073"	""	"https://doi.org/"	"1997"	"1998"	"FC, G, H, LE, NETRAD, P, PA, PPFD_IN, RH, SW_IN, TA, USTAR, VPD, WD, WS"	""
"US-MAC"	"MacArthur Agro-Ecology"	"Jed P. Sparks (jps66@cornell.edu)"	"Legacy"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cwa"	"Humid Subtropical: dry winter, hot summer"	""	""	"USA"	"27.1632"	"-81.1873"	""	""	"https://doi.org/"	""	"https://doi.org/"	"2013"	"2015"	""	""
"US-MBP"	"Marcell Bog Lake Peatland"	"Timothy Griffis (tgriffis@umn.edu)"	"CC-BY-4.0"	"Yes"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	""	""	"780"	"3.4"	"USA"	"47.5051"	"-93.4893"	"416"	"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/1767835"	""	"https://doi.org/"	"2007"	""	"CH4, CO2, FC, FCH4, H, H2O, LE, PA, PPFD_IN, RH, SW_IN, TA, TS, T_SONIC, USTAR, WD, WS"	""
"US-MC1"	"Creston, Montana pivot-irrigated spring wheat"	"Paul Stoy (pcstoy@wisc.edu)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"432"	"6.25"	"USA"	"48.1873"	"-114.1548"	"900"	"2015"	"https://doi.org/10.17190/AMF/1660348"	""	"https://doi.org/"	"2015"	"2015"	"ALB, CO2, CO2_SIGMA, FC, FC_SSITC_TEST, G, H, H2O, H2O_SIGMA, LE, LE_SSITC_TEST, LW_IN, LW_OUT, NETRAD, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL"	""
"US-MC2"	"Creston, Montana pivot-irrigated spring wheat 2"	"Paul Stoy (pcstoy@wisc.edu)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"432"	"6.25"	"USA"	"48.1802"	"-114.2051"	"900"	"2016"	"https://doi.org/10.17190/AMF/1829506"	""	"https://doi.org/"	"2016"	"2016"	"ALB, CO2, CO2_SIGMA, FC, FC_SSITC_TEST, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, NETRAD, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL"	""
"US-MCP"	"Moro Cojo Slough, PG&E Treatment Wetland"	"Adina Paytan (apaytan@ucsc.edu)"	"CC-BY-4.0"	"No"	"No"	"WET"	"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water"	"Cfc"	"Marine West Coast: mild with no dry season, cool summer"	"894"	"10"	"USA"	"36.7830"	"-121.7690"	"0"	""	"https://doi.org/"	""	"https://doi.org/"	"2023"	""	""	""
"US-Me1"	"Metolius - Eyerly burn"	"Bev Law (bev.law@oregonstate.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Csb"	"Mediterranean: mild with dry, warm summer"	"704.61"	"7.88"	"USA"	"44.5794"	"-121.5000"	"896"	"2004, 2005"	"https://doi.org/10.17190/AMF/1246074"	"2004, 2005"	"https://doi.org/10.17190/AMF/1902834"	"2004"	"2005"	"CO2, FC, G, H, LE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, RH, SC, SH, SWC, TA, TS, USTAR, VPD, WD, WS"	""
"US-Me2"	"Metolius mature ponderosa pine"	"Chris Still (chris.still@oregonstate.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Csb"	"Mediterranean: mild with dry, warm summer"	"523"	"6.28"	"USA"	"44.4526"	"-121.5589"	"1253.00"	"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1246076"	"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"	"https://doi.org/10.17190/AMF/1854368"	"2002"	""	"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA"	""
"US-Me3"	"Metolius-second young aged pine"	"Bev Law (bev.law@oregonstate.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Csb"	"Mediterranean: mild with dry, warm summer"	"719"	"7.07"	"USA"	"44.3154"	"-121.6078"	"1005"	"2004, 2005, 2006, 2007, 2008, 2009"	"https://doi.org/10.17190/AMF/1246077"	"2004, 2005, 2006, 2007, 2008, 2009"	"https://doi.org/10.17190/AMF/1902835"	"2004"	"2009"	"APAR, CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"US-Me4"	"Metolius-old aged ponderosa pine"	"Chad Hanson (chad.hanson@oregonstate.edu)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Csb"	"Mediterranean: mild with dry, warm summer"	"1038.82"	"7.61"	"USA"	"44.4992"	"-121.6224"	"922"	"1996, 1997, 1998, 1999, 2000"	"https://doi.org/10.17190/AMF/1246078"	""	"https://doi.org/"	"1996"	"2000"	"FC, G, H, LE, NETRAD, P, PA, PPFD_IN, RH, SW_IN, TA, TS, USTAR, VPD, WD, WS"	""
"US-Me5"	"Metolius-first young aged pine"	"Bev Law (bev.law@oregonstate.edu)"	"CC-BY-4.0"	"Yes"	"No"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Csb"	"Mediterranean: mild with dry, warm summer"	"590.81"	"6.47"	"USA"	"44.4372"	"-121.5668"	"1188"	"1999, 2000, 2001, 2002"	"https://doi.org/10.17190/AMF/1246079"	""	"https://doi.org/"	"2000"	"2002"	"APAR, CO2, FAPAR, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_DIF, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL"	""
"US-Me6"	"Metolius Young Pine Burn"	"Chris Still (chris.still@oregonstate.edu)"	"CC-BY-4.0"	"Yes"	"Yes"	"ENF"	"Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage."	"Csb"	"Mediterranean: mild with dry, warm summer"	"494"	"7.59"	"USA"	"44.3233"	"-121.6078"	"998"	"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"	"https://doi.org/10.17190/AMF/1246128"	"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"	"https://doi.org/10.17190/AMF/2204871"	"2010"	""	"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA"	""
"US-Men"	"Lake Mendota, Center for Limnology Site"	"Ankur Desai (desai@aos.wisc.edu)"	"CC-BY-4.0"	"Yes"	"No"	"WAT"	"Water Bodies : Oceans, seas, lakes, reservoirs, and rivers. Can be either fresh or salt- water bodies."	"Dfa"	"Humid Continental: humid with severe winter, no dry season, hot summer"	"875"	"7.94"	"USA"	"43.0772"	"-89.4030"	"260"	"2012, 2013, 2014, 2015, 2016, 2017, 2018"	"https://doi.org/10.17190/AMF/1433375"	""	"https://doi.org/"	"2012"	"2018"	"CO2, FC, H, H2O, LE, LW_IN, P, PA, RH, SW_IN, TA, TW, USTAR, VPD, WD, WS"	""
"US-MFs"	"Moore Fields"	"Scott Ollinger (scott.ollinger@unh.edu)"	"Legacy"	"No"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Dfb"	"Warm Summer Continental: significant precipitation in all seasons "	"1170"	"8.9"	"USA"	"43.1385"	"-70.9610"	"20"	""	"https://doi.org/"	""	"https://doi.org/"	"2014"	"2018"	""	""
"US-MG1"	"MPG Ranch Rangeland Restoration"	"Morgan McLeod (mmcleod@mpgranch.com)"	"CC-BY-4.0"	"No"	"No"	"GRA"	"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water."	"Dwb"	"Warm Summer Continental: dry winters "	"317.8"	"7.06"	"USA"	"46.6996"	"-114.0353"	"1043"	""	"https://doi.org/"	""	"https://doi.org/"	"2022"	""	""	""
"US-MH1"	"Huntley, Montana irrigated barley site 1"	"Paul Stoy (pcstoy@wisc.edu)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Bsk"	"Steppe: warm winter"	"347"	"8.9"	"USA"	"45.9206"	"-108.2414"	"919.6"	"2015"	"https://doi.org/10.17190/AMF/1660349"	""	"https://doi.org/"	"2015"	"2015"	"ALB, CO2, CO2_SIGMA, FC, FC_SSITC_TEST, G, H, H2O, H2O_SIGMA, LE, LE_SSITC_TEST, LW_IN, LW_OUT, NETRAD, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL"	""
"US-MH2"	"Huntley, Montana irrigated barley site 2"	"Paul Stoy (pcstoy@wisc.edu)"	"CC-BY-4.0"	"Yes"	"No"	"CRO"	"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type."	"Bsk"	"Steppe: warm winter"	"347"	"8.9"	"USA"	"45.9699"	"-108.1978"	"891"	"2016"	"https://doi.org/10.17190/AMF/1825938"	""	"https://doi.org/"	"2016"	"2016"	"ALB, CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PPFD_IN, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, VPD, WD, WS, ZL"	""
